ID,target
000137c73,1616274.875
00021489f,1699441.625
0004d7953,3644900.75
00056a333,5574462.5
00056d8eb,1677115.125
0005fc190,1426973.75
000787e86,2327494.0
0008510a0,1701788.375
000895faf,1536024.875
000986fba,2883725.0
0009efcc5,2598811.25
000dd8f00,1603553.125
000e1cdc2,1300421.0
00103739c,1524123.75
00134b367,1601063.875
001788d0d,668104.8125
0019c8ad7,3206145.5
001a267b9,1237432.625
001a85486,1319058.0
001c4de06,4042325.0
001f9014b,1694533.125
00216fb94,1790410.25
00235690e,1708287.75
00240739d,1916109.5
0024c3747,1358214.375
00297052d,2165605.5
002ab8f85,1664339.875
002bed5c0,1563923.125
002bf3974,10161000.0
002d23a26,1375269.5
002f27de9,1097918.875
0030d8bb4,2062460.25
003146acd,985640.8125
003223263,1458241.25
00335575e,1775643.75
00337cf9d,4502994.5
003394397,1696908.75
0036358a3,1912232.125
003770d30,899677.8125
003bed5ea,1648008.5
003ea6427,3656156.25
003ef8132,1691150.875
003fd1723,1647216.5
0041861b4,1119845.75
0042b718b,1479593.0
004381d8f,4958989.5
0043ca764,1293119.5
004486837,3136741.5
0045c123e,2681917.5
0048915c6,1753048.375
004ab9a09,2935277.75
004b2e1c9,2979000.5
004c54732,1215830.375
004cdefce,1680924.5
004dd971b,5257650.0
004f9329b,1677115.125
004fd2bca,1676832.0
0054bfedb,1363635.625
0054ec58a,408097.09375
00551f45d,6935447.5
005777b4c,1115564.875
00578d6ea,2110023.5
005802488,710934.25
0059833b6,403964.71875
005a70085,2181375.5
005b148a0,1677115.125
005c28df4,2443625.75
005f8dc26,1640198.625
00603c202,5127972.5
006049609,1632561.125
00612f47e,1650736.0
00647a57f,1516986.25
0065853ee,1677115.125
006589d5e,1493678.375
006598823,5587577.0
0065c093c,3033335.5
006738351,1316208.0
006a0c6a8,2407021.5
006e9efe6,1908437.25
006f029d3,1667542.875
0070f35a2,1250256.75
007135f85,1677115.125
007285433,4416227.0
00735e101,2062597.875
0074ecf4e,1460101.75
007635fa9,1650509.25
007723613,1795391.0
007867da9,1677115.125
0078bfbd6,802738.9375
0078ce229,1644926.125
007a89d50,1489494.875
007d43dfa,1458794.875
007ee9e05,1520168.0
007ffeae2,1580473.0
00835c85c,1470650.0
0084b08f1,1471677.0
0087fb290,1731428.75
0088a96bd,1706957.25
008ac4292,3319542.75
008d8cca8,1621513.375
008e07b8c,1759070.625
008e5e25a,4714298.0
0094edcdb,4100288.75
00950141c,1593592.0
009566ef1,4924003.5
0095c81d4,1677115.125
0097a6ed4,2259781.75
0098fef9a,1326422.375
009b321ec,5712096.5
009cd681e,1604212.375
009f34f86,1677115.125
009f35cd3,1662290.375
009f65109,5584365.0
00a19014a,2583746.5
00a27e76a,957893.9375
00a3b6ef7,2485191.25
00a427603,1682639.0
00a6dc8be,1263848.875
00a811734,7966733.5
00a8f58a7,1662709.0
00aaae151,1686152.125
00ab17f67,1572084.75
00ac2d3a5,1528967.25
00adab1b6,3248009.25
00aef0d56,1583692.75
00b0b06c4,1739956.75
00b0e2303,1700753.25
00b1fbbc9,1358958.125
00b43e0c1,5229666.0
00b7190a8,1677115.125
00b722e1b,1695161.875
00bba815f,1839016.0
00bbb1c42,1677115.125
00bc2b665,1642344.5
00bc35689,2474853.25
00be23f52,9269659.0
00be24ac5,1531037.75
00bfd0f70,1486232.75
00c02f73e,1889119.625
00c08e5b3,1306246.75
00c8690ff,1762551.625
00c8df4d5,3351658.75
00c8e30de,1467401.125
00ca3fb04,2286530.75
00cabf621,1701257.75
